Question,Answer
Who can be a surveyor for the Digital Crop Survey?,"States can use Government officials, 'Krishi Sakhis', or private persons, including farmers themselves, for the surveys, as long as they are knowledgeable about the local agronomy."
What happens during the 'Laboratory analysis' stage of soil mapping?,This stage supports the field observations by analyzing soil samples for different chemical and physio-chemical properties and their fertility status.
How does a state get its DGCES plan approved?,"Before each season, the Ministry will notify states of the minimum number of CCEs required per crop. SASAs must ensure at least this specified number of CCEs is planned in the DGCES Portal."
What is the 'FASAL' scheme?,"FASAL stands for 'Forecasting Agricultural output using Space, Agro-meteorology and Land based observations'. It is a scheme for crop acreage and production estimation run by MNCFC."
What is the 'Improvement of Agriculture Statistics (IAS)' scheme?,This is an existing scheme that already provides support to SASAs for supervising agricultural statistics activities.
What is a 'Detailed Project Report' (DPR)?,"A DPR is a comprehensive report that states must submit when applying for funding for IT initiatives. It contains details on the project's finances, timelines, and technology."
How will the mission engage with schools?,The IEC plan includes collaborating with government schools to organize awareness programs to educate students and their families about the Digital Agriculture Mission during parent-teacher meetings or special assemblies.
What is the role of a 'Tehsildar' or 'Village Accountant/Patwari' in the DCS?,"The Central Government provides a draft of recommended roles and responsibilities for various state and local officials, including Tehsildars and Village Accountants/Patwaris, who are involved in the project's execution on the ground."
How does the DCS mobile app ensure data is captured from the correct location?,The mobile app uses the device's GPS to locate the surveyor and ensures they are within the designated land parcel boundaries before they can capture and record data for that plot.
What is a 'State Farmer Database' (SFDB)?,The SFDB is the bucketing database where the initial process of grouping lands belonging to a farmer occurs before the data is moved to the live Farmer Registry.
What is the 'Local Government Directory' (LGD)?,"The LGD provides standardized codes for districts, talukas, and villages. The mission requires that state masters for these administrative units are finalized according to LGD Codes for system compatibility."
What does the abbreviation 'PMU' stand for?,PMU stands for Project Monitoring Units.
What is the purpose of a 'sandbox environment' under AgriStack?,The mission supports the development of a sandbox environment under AgriStack. This is a testing environment where developers can build and test new applications and services using the platform's APIs without affecting the live system.
How are state proposals for IT initiatives aligned with central government goals?,Proposals are evaluated for their alignment with central Government Digital Public Infrastructures (DPIs) before being approved for pilot projects or funding.
What is the first step for a farmer to access benefits under the mission?,The first step for a farmer is to digitally identify and authenticate himself/herself. This digital identity will be the key to accessing services and benefits with less paperwork.
How does the mission help in case of natural calamities?,"The Aadhar-verified Farmer ID, linked to land records and crops sown, would aid in providing transparent and efficient compensation for crop loss due to natural calamities."
Can the mission's funds be used for developing applications for the department itself?,"Yes, the guidelines state that funds can be used for the 'Development of various IT Applications and Apps for the Department'."
How will the mission ensure data privacy and security for the Krishi-DSS platform?,"The platform is designed to be a secure framework with strict data security and privacy measures, allowing for collaborative decision-making while protecting sensitive data."
What is the process of soil classification in the NSMP?,"After fieldwork and lab analysis, the soils are correlated and classified into defined taxonomic units using a standardised and universally accepted soil classification system."
Who chairs the National level Agri Stack Steering Committee?,"The National level Agri Stack Steering Committee is constituted under the chairpersonship of the Secretary of the Department of Agriculture & Farmers’ Welfare, Government of India."
What is the primary function of the State-level Agri Stack Implementation Committee?,"This committee is responsible for the day-to-day implementation of the three main tasks of AgriStack (Farmer Registry, GRVM, DCS) and is expected to meet at least once every month."
Who chairs the Project Steering Committee (PSC) for the Krishi-DSS platform?,"A Project Steering Committee (PSC) under the chairpersonship of the Additional Secretary (Digital Agriculture), DA&FW, is responsible for reviewing and finalizing technical documents for Krishi-DSS."
Who monitors the day-to-day implementation of the Krishi-DSS project?,"A Project Implementation Committee (PIC) constituted under the chairmanship of the Director, MNCFC, monitors the day-to-day implementation of the project, including module development and testing."
Who chairs the state-level implementation committee for the Digital General Crop Estimation Survey (DGCES)?,The State-Level Implementation Committee for DGCES is chaired by the Director of the State Agricultural Statistical Authority (SASA).
What specific action must a state take to get its own CCE app approved for DGCES funding?,"The state must give a demonstration of its own application to the Ministry, after which a central technical team will check its compatibility and features before it can be onboarded for funding."
What are the three essential image-capturing requirements for a CCE app?,"Any CCE mobile application must be able to capture an image of the plot, an image of the crop harvesting process, and an image of the crop weighment process."
What is the purpose of the 'sandbox environment' being developed under AgriStack?,"The mission supports developing a sandbox environment, which is a testing area where startups, researchers, and companies can build and test new applications using AgriStack APIs without affecting the live system."
What is the government's policy on intellectual property (IP) for state-led IT pilot projects?,"The Centre will co-own the intellectual property created during state-led pilot projects, and states must share all details and outcomes of these projects with the Centre."
What specific details must a state IT project proposal contain to be considered for funding?,"The proposal, submitted as part of the Krishonnati Yojana, must contain the Detailed Project Report (DPR), financial implications, clear implementation timelines, and details on the technologies involved."
How are unspent funds from a previous DGCES season handled?,"When a state's SASA applies for funds for a new season, they must provide details of any unspent funds from the previous season, which will be factored into the new fund release."
Can the ₹1000 per CCE incentive be used for administrative costs?,"Yes, 2.5% of the total amount allocated to a State's SASA for CCEs may be utilized for administrative expenses, such as organizing training sessions, workshops, or purchasing equipment."
What is the process for an academic institution to get project funding under the mission?,The process is: Step 1: The institution submits a DPR for a scalable digital solution -> Step 2: The Assessment Committee of DA&FW approves the project -> Step 3: Concurrence of the Integrated Finance Division (IFD) is obtained -> Step 4: Funds are then released.
"According to the IEC plan, what is the 'Video Creative' activity?","This activity involves circulating video bytes about the Digital Agriculture Mission among States and other bodies with a request to play them in office premises, at events, and even in movie halls. A new byte is planned every quarter."
What is the 'Booklet on Success Stories' mentioned in the IEC plan?,"This is a planned compendium with infographics and storylines on achievements and success stories of the mission's initiatives, scheduled to be printed in January."
How often is a major social media campaign for the mission planned?,A 7-day social media campaign to promote and showcase achievements is planned to be rolled out every quarter.
What is the specific target for soil mapping in the third year of the program?,"The target for the third year of the National Soil Mapping Programme is to cover 153 districts, which corresponds to approximately 285 lakh hectares."
What is the total approved budget for the DGCES component over five years?,"The total approved project outlay for the Digital General Crop Estimation Survey (DGCES) component is ₹100 crore, which is fully funded by the central government."
How much funding is allocated for 'Support to MNCFC' over the five-year mission period?,The total approved project outlay for 'Support to MNCFC' is ₹60 crore.
What is the total funding allocated for 'Comprehensive Soil Fertility and Profile Mapping' over the five-year mission period?,The total approved project outlay for this component is ₹100 crore.
What is the role of the State Technical Coordinator in the Farmer Registry setup?,The State Technical Coordinator is nominated by the state to facilitate the technical enablement and system rollout required for creating the Farmer Registry.
What is the primary responsibility of a 'Master Trainer' for the Farmer Registry?,"The primary responsibility is to conduct comprehensive training sessions for district-level trainers, effectively creating a cascading learning model down to the village level."
Who makes up the 'District Level Team' (DLT) for the Farmer Registry?,A district-level committee needs to be formed to effectively coordinate and monitor field activities for Farmer ID issuance. The specific composition is decided by the state.
What is the 'Subdivisional Agriculture Extension Officer' (SDAEO)?,This is a designation for an agricultural officer at the sub-divisional level who may be involved in the mission's activities.
What is a 'State Farmer Database' (SFDB)?,The SFDB is the name for the bucketing database application that is set up to enable the process of grouping farmer lands before they are moved to the final registry.
What is the 'State Aadhaar-seeded Database' (SASDB)?,"This refers to a state-level database where farmer details are linked or 'seeded' with their Aadhaar numbers, which can be used to enrich the Farmer Registry."
What is the role of the 'Project Implementation Committee' (PIC) for the National Soil Mapping Programme?,"A PIC will be constituted under the chairmanship of the Chief Soil Survey Officer, SLUSI, to plan, execute, manage funds, and monitor the activities of the National Soil Mapping Programme."
What is the official title for the list of abbreviations in the document?,The section is titled 'List of Abbreviations'.
How will the mission support global initiatives?,"Through MNCFC, the mission will support existing global programs like UNESCAP, Sentinel Asia (a disaster management program), and Geo-Glam (for sharing information products)."
What specific crop details must be shared via API for states using their own DGCES app?,"The parameters include Crop Name, Crop Type, Crop Variety, whether it is a Picking Crop (Yes/No), Date of Sowing, and Date of Harvesting."
What 'green weight' measurements are required for API data sharing in DGCES?,"Three separate green weight measurements are required: Green Weight with fodder/cob (in Kgs), Green Weight without fodder/cob (in Kgs), and Green Weight taken for driage (in Kgs)."
What is the format for sharing data on CCEs that have been edited by the state?,States using their own app must share data for edited experiments in a specific format (as per Annexure IV) that shows the data entered by the Primary Worker alongside the data as edited by the State.
What bank account details are required on the DGCES Fund Requisition Form?,"The form requires the Name of the Bank, Branch Address, Account Number, and the IFSC Number of the SASA's account."
What is the 'Krishi Monitoring Support Center'?,This is a piece of IT infrastructure that the mission will support setting up and maintaining for the Department of Agriculture & Farmers' Welfare.
How will the mission support the maintenance of the department's e-office?,"The mission provides financial support for maintaining the e-office, the department's websites, mobile apps, and for holding Virtual Conferences."
What is a 'consent manager' in the context of AgriStack?,A 'Consent Manager' is a software component being developed under AgriStack. It will manage the consent given by farmers for sharing their data for various services.
Who has the final say on the rates for soil mapping work done by partner institutes?,"The partner institutes will undertake the work at rates fixed by the Department of Agriculture & Farmers' Welfare (DA&FW), which are based on the recommendation of a specially constituted committee."
What is the purpose of a 'pre-field interpretation map' in soil mapping?,This map is prepared before the fieldwork begins. It helps the survey team in their preparation and planning for the soil survey.
What are 'legacy thematic data' and how are they used in soil mapping?,"This refers to older, existing thematic data layers. They are used along with new satellite data during the post-field interpretation stage to help draw the soil boundaries accurately."
When did the pilot for DGCES begin?,The DGCES was pilot implemented during Kharif 2023 in selected districts of 10 States.
How was DGCES expanded after the initial pilot?,"In Rabi 2024, it was expanded and implemented in all districts of 16 major States, with a full rollout planned from Kharif 2024."
What is the process for registering primary workers for DGCES?,"The registration of primary workers is a one-time exercise that needs to be done through the DGCES web portal. However, modifications can be made if workers are transferred."
What is the 'Data Approval Module' in the DGCES portal?,This is the specific module within the web portal through which state-level and district-level users can approve the CCE data submitted by primary workers.
Can a state get funding for a project that lasts longer than one year?,"The guidelines advise states to propose IT initiative projects with a lifecycle of preferably one year, along with clear implementation timelines."
Who provides the draft of recommended roles and responsibilities for DCS stakeholders?,"The Central Government will provide a draft of recommended roles and responsibilities for each stakeholder, including local officials like Collectors, Tehsildars, and Village Accountants."
How many surveyors should a district trainer oversee for the DCS?,"To ensure effective management, it is recommended that each district trainer should oversee no more than 20 surveyors."
What departments might personnel be drawn from for the large-scale DCS operation?,"To get the required number of surveyors, personnel may be drawn from various government departments, including Revenue, Panchayati Raj, Agriculture, Horticulture, Sericulture, and Animal Husbandry."
What is the role of the Project Head of the SPMU?,The Project Head is responsible for high-level supervision of the unit's activities and for reporting progress and issues to senior government officials.
How is the SPMU different from the Help Desk?,"The Help Desk provides day-to-day technical support for field operations, whereas the SPMU is a higher-level unit that controls, supervises, and manages the Help Desk activities and handles administrative issues."
What is the first step the DCS Help Desk team takes when a user calls?,The Help Desk team uses CRM (Customer Relationship Management) software to manage and allocate incoming calls. Their first responsibility is to provide step-by-step guidance and assistance to users.
What is a 'State Project Management Unit' (SPMU)?,"SPMU is a State Project Management Unit set up in states to act as a bridge between the Centre and the State teams, oversee operations, and enable the successful rollout of initiatives like AgriStack and DCS."
What is the 'Unified Farmer Service Interface' (UFSI)?,The UFSI is a platform for delivering farmer-centric services. The mission includes funding for call centres to support this interface.
How will the mission support global initiatives?,"Through MNCFC, the mission will support existing global programs like UNESCAP, Sentinel Asia (a disaster management program), and Geo-Glam (for sharing information products)."
What is the 'Krishi Monitoring Support Center'?,This is a piece of IT infrastructure that the mission will support setting up and maintaining for the Department of Agriculture & Farmers' Welfare.
Who has the final say on the rates for soil mapping work done by partner institutes?,"The partner institutes will undertake the work at rates fixed by the Department of Agriculture & Farmers' Welfare (DA&FW), which are based on the recommendation of a specially constituted committee."
When did the pilot for DGCES begin?,The DGCES was pilot implemented during Kharif 2023 in selected districts of 10 States.
What is the process for registering primary workers for DGCES?,"The registration of primary workers is a one-time exercise that needs to be done through the DGCES web portal. However, modifications can be made if workers are transferred."
Can a state get funding for a project that lasts longer than one year?,"The guidelines advise states to propose IT initiative projects with a lifecycle of preferably one year, along with clear implementation timelines."
What is the role of the Project Head of the State PMU (SPMU)?,The Project Head is responsible for high-level supervision of the unit's activities and for reporting progress and issues to senior government officials.
What does CDAC stand for?,CDAC stands for Centre for Development of Advanced Computing.
What does CRM stand for?,CRM stands for Customer Relationship Management.
What does CSCS stand for?,CSCS stands for Common Service Centers.
What does DGQI stand for?,DGQI stands for Data Governance Quality Index.
What does DLT stand for?,DLT stands for District Level Team.
What does DOLR stand for?,DOLR stands for Department of Land Resources.
What does DPR stand for?,DPR stands for Detailed Project Report.
What does FASAL stand for?,"FASAL stands for Forecasting Agricultural output using Space, Agro-meteorology and Land based observations."
What does IFD stand for?,IFD stands for Integrated Finance Division.
What does IMD stand for?,IMD stands for Indian Meteorological Department.
What does loTs stand for?,loTs stands for Internet of Things.
What does ISRO stand for?,ISRO stands for Indian Space Research Organization.
What does KY stand for?,KY stands for Krishonnati Yojana.
What does LGD stand for?,LGD stands for Local Government Directory.
What does MIS stand for?,MIS stands for Management Information System.
What does MoU stand for?,MoU stands for Memorandum of Understanding.
What does NBSS&LUP stand for?,NBSS&LUP stands for National Bureau Of Soil Survey And Land Use Planning.
What does NeGP-A stand for?,NeGP-A stands for National e-Governance Plan in Agriculture.
What does NIC stand for?,NIC stands for National Informatics Centre.
What does NRSC stand for?,NRSC stands for National Remote Sensing Centre.
What does NSMP stand for?,NSMP stands for National Soil Mapping Programme.
What does NSSO stand for?,NSSO stands for National Sample Survey Office.
What does NWIC stand for?,NWIC stands for National Water Informatics Centre.
What does PIC stand for?,PIC stands for Project Implementation Committee.
What does POC stand for?,POC stands for Proof of Concept.
What does PPOC stand for?,PPOC stands for Primary Points of Contact.
What does PSC stand for?,PSC stands for Project Steering Committee.
What does SAC stand for?,SAC stands for Space Application Center.
What does SLUSI stand for?,SLUSI stands for Soil and Land Use Survey of India.
What does SME stand for?,SME stands for Subject Matter Expert.
What does UAT stand for?,UAT stands for User Acceptance Testing.
What does USDA stand for?,USDA stands for United States Department of Agriculture.
What does WINDS stand for?,WINDS stands for Weather Information Network and Data Systems.
How will the government use hoardings to promote the mission?,"The IEC plan includes placing hoardings on key DAM initiatives in public places such as bus stops, railway stations, and market areas, to be done twice a year."
What is the timeline for celebrating 'Digital Krishi Diwas'?,The celebration of 'Digital Krishi Diwas' pan-India is planned for December.
What is the role of a 'Primary Point of Contact' (PPOC)?,"State Master Trainers will act as the Primary Points of Contact (PPOCs) for the District Trainers, sharing updates on progress and issues to ensure smooth operations."
What is the main condition for a state to receive financial assistance for IT initiatives?,An MoU on DPI (Digital Public Infrastructure) between the Centre and the State is essential for the State to obtain financial assistance for IT initiative projects.
what are any new schemes from government,https://pmkisan.gov.in/ 
I want to know my status for beneficiary,https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
